County,Cases1,Deaths2
Baker,861,14
Benton,2733,18
Clackamas,15451,204
Clatsop,899,8
Columbia,1551,26
Coos,1978,31
Crook,881,19
Curry,595,9
Deschutes,7172,72
Douglas,3049,65
Gilliam,56,1
Grant,412,4
Harney,306,6
Hood River,1127,29
Jackson,9938,127
Jefferson,2073,32
Josephine,3066,62
Klamath,3490,59
Lake,413,7
Lane,11656,144
Lincoln,1305,20
Linn,4175,63
Malheur,3428,58
Marion,20261,299
Morrow,1079,15
Multnomah,35068,568
Polk,3457,52
Sherman,57,0
Tillamook,582,3
Umatilla,7968,83
Union,1416,24
Wallowa,157,5
Wasco,1299,28
Washington,23492,229
Wheeler,25,1
Yamhill,4116,75
Total,175592,2460
