County,Positive,Deaths,Negative
Baker,0,0,14
Benton,21,1,466
Clackamas,90,3,1870
Clatsop,4,0,188
Columbia,8,0,197
Coos,0,0,249
Crook,1,0,33
Curry,2,0,67
Deschutes,40,0,534
Douglas,12,0,354
Gilliam,0,0,8
Grant,1,0,15
Harney,0,0,38
Hood River,2,0,182
Jackson,39,0,2401
Jefferson,0,0,45
Josephine,16,0,453
Klamath,18,0,324
Lake,0,0,36
Lane,29,1,921
Lincoln,4,0,156
Linn,44,2,954
Malheur,2,0,91
Marion,209,6,1818
Morrow,2,0,33
Multnomah,243,7,4828
Polk,26,1,389
Sherman,1,0,7
Tillamook,3,0,110
Umatilla,8,0,242
Union,3,0,36
Wallowa,1,0,12
Wasco,7,0,195
Washington,271,5,2785
Wheeler,0,0,4
Yamhill,25,3,614
Total,1132,29,20669
