County,Positive,Deaths,Negative
Baker,0,0,7
Benton,5,0,264
Clackamas,31,2,802
Clatsop,2,0,70
Columbia,1,0,86
Coos,0,0,110
Crook,0,0,6
Curry,0,0,24
Deschutes,18,0,158
Douglas,4,0,150
Gilliam,0,0,4
Grant,1,0,1
Harney,0,0,21
Hood River,1,0,86
Jackson,6,0,957
Jefferson,0,0,10
Josephine,4,0,94
Klamath,2,0,77
Lake,0,0,13
Lane,9,1,415
Lincoln,1,0,56
Linn,28,1,539
Malheur,0,0,23
Marion,83,3,731
Morrow,1,0,15
Multnomah,67,2,2041
Polk,10,0,170
Sherman,0,0,2
Tillamook,1,0,34
Umatilla,3,0,90
Union,1,0,18
Wallowa,0,0,3
Wasco,2,0,59
Washington,122,3,1112
Wheeler,0,0,1
Yamhill,11,0,261
Total,414,12,8510
