County,Cases1,Deaths2
Baker,611,7
Benton,2118,14
Clackamas,12978,155
Clatsop,760,6
Columbia,1164,21
Coos,1243,17
Crook,734,16
Curry,362,6
Deschutes,5640,49
Douglas,2100,51
Gilliam,53,1
Grant,220,1
Harney,240,6
Hood River,1043,27
Jackson,7832,106
Jefferson,1867,26
Josephine,2154,42
Klamath,2701,53
Lake,339,6
Lane,9708,119
Lincoln,1109,18
Linn,3465,51
Malheur,3299,56
Marion,17869,270
Morrow,1007,13
Multnomah,31021,492
Polk,2878,42
Sherman,52,0
Tillamook,390,2
Umatilla,7420,76
Union,1235,19
Wallowa,131,4
Wasco,1208,24
Washington,20497,200
Wheeler,22,1
Yamhill,3612,59
Total,149082,2056
