County,Cases1,Deaths2,Negatives3
Baker,114,3,2168
Benton,433,6,17214
Clackamas,3061,65,73459
Clatsop,237,0,6608
Columbia,253,1,8390
Coos,236,0,8543
Crook,100,2,3025
Curry,57,1,2277
Deschutes,1098,13,37137
Douglas,342,5,15011
Gilliam,11,0,356
Grant,11,0,1016
Harney,21,0,922
Hood River,277,1,5761
Jackson,1617,6,40378
Jefferson,600,9,5515
Josephine,262,3,14223
Klamath,405,3,11607
Lake,34,0,1044
Lane,2294,27,79488
Lincoln,511,13,9712
Linn,788,15,20185
Malheur,1897,37,6208
Marion,5684,107,57979
Morrow,543,6,2013
Multnomah,8955,159,171099
Polk,643,15,11380
Sherman,18,0,383
Tillamook,70,0,3523
Umatilla,3328,44,15005
Union,465,2,5044
Unknown,0,0,5
Wallowa,40,2,1168
Wasco,347,15,5794
Washington,5612,74,109356
Wheeler,1,0,182
Yamhill,983,15,20675
Total,41348,649,773853
