County,Cases1,Deaths2,Negatives3
Baker,1,0,310
Benton,63,5,4264
Clackamas,399,13,14284
Clatsop,45,0,1782
Columbia,17,0,1820
Coos,32,0,1816
Crook,6,0,703
Curry,7,0,434
Deschutes,134,0,6761
Douglas,29,0,3292
Gilliam,0,0,70
Grant,1,0,122
Harney,1,0,264
Hood River,67,0,1700
Jackson,77,0,8193
Jefferson,64,0,1237
Josephine,23,1,2818
Klamath,46,0,3875
Lake,2,0,177
Lane,82,3,14331
Lincoln,161,0,2284
Linn,124,9,4992
Malheur,33,1,847
Marion,1071,30,11357
Morrow,13,0,216
Multnomah,1361,66,32137
Polk,104,12,2153
Sherman,1,0,117
Tillamook,6,0,868
Umatilla,148,3,2007
Union,7,0,565
Wallowa,3,0,204
Wasco,34,1,1624
Washington,813,18,20416
Wheeler,0,0,101
Yamhill,85,7,3522
Total,5060,169,151663
