County,Cases1,Total deaths2,Negative tests3
Baker,13,0,698
Benton,128,6,7136
Clackamas,1111,30,30895
Clatsop,62,0,2995
Columbia,61,0,3630
Coos,67,0,3265
Crook,22,1,1285
Curry,9,0,845
Deschutes,339,1,13670
Douglas,82,1,6354
Gilliam,2,0,134
Grant,1,0,440
Harney,2,0,473
Hood River,124,0,3050
Jackson,222,0,15127
Jefferson,185,0,2503
Josephine,66,1,5446
Klamath,150,1,5983
Lake,27,0,374
Lane,384,3,31336
Lincoln,368,8,5462
Linn,196,10,8665
Malheur,478,5,2545
Marion,2093,58,23014
Morrow,186,1,875
Multnomah,3369,74,70650
Polk,200,12,3652
Sherman,8,0,202
Tillamook,23,0,1706
Umatilla,1262,9,6433
Union,383,2,2096
Wallowa,17,1,542
Wasco,129,3,2760
Washington,2151,21,44735
Wheeler,0,0,131
Yamhill,229,9,7537
Total,14149,257,316644
