County,Total Cases1,Total deaths2
Baker,656,7
Benton,2344,16
Clackamas,13380,175
Clatsop,775,6
Columbia,1265,21
Coos,1491,19
Crook,775,18
Curry,429,6
Deschutes,5952,59
Douglas,2474,54
Gilliam,53,1
Grant,223,1
Harney,273,6
Hood River,1069,29
Jackson,8395,112
Jefferson,1958,28
Josephine,2340,50
Klamath,2791,55
Lake,376,6
Lane,10258,126
Lincoln,1132,20
Linn,3590,56
Malheur,3351,58
Marion,18468,285
Morrow,1049,14
Multnomah,31877,528
Polk,3064,42
Sherman,53,0
Tillamook,414,2
Umatilla,7659,82
Union,1284,19
Wallowa,142,4
Wasco,1221,26
Washington,21211,212
Wheeler,22,1
Yamhill,3783,64
Total,155597,2208
