County,Cases1,Deaths2,Negatives3
Baker,1,0,103
Benton,50,5,2407
Clackamas,274,9,7332
Clatsop,34,0,847
Columbia,15,0,977
Coos,29,0,839
Crook,1,0,299
Curry,4,0,221
Deschutes,90,0,2816
Douglas,24,0,1459
Gilliam,0,0,33
Grant,1,0,80
Harney,1,0,97
Hood River,13,0,744
Jackson,50,0,4775
Jefferson,24,0,472
Josephine,25,1,1353
Klamath,41,0,2585
Lake,0,0,82
Lane,61,2,5865
Lincoln,6,0,919
Linn,104,8,2617
Malheur,14,0,344
Marion,723,23,5702
Morrow,12,0,115
Multnomah,908,53,16883
Polk,89,6,1176
Sherman,1,0,47
Tillamook,6,0,429
Umatilla,85,2,960
Union,4,0,160
Wallowa,1,0,49
Wasco,16,1,789
Washington,601,13,10800
Wheeler,0,0,20
Yamhill,50,7,1909
Total,3358,130,76305
