County,Cases1,Deaths2
Baker,596,6
Benton,1963,14
Clackamas,12655,153
Clatsop,745,5
Columbia,1120,20
Coos,1131,16
Crook,702,15
Curry,336,5
Deschutes,5468,46
Douglas,1897,48
Gilliam,53,1
Grant,217,1
Harney,202,6
Hood River,1024,25
Jackson,7594,104
Jefferson,1788,25
Josephine,2033,36
Klamath,2659,52
Lake,276,6
Lane,9316,114
Lincoln,1080,18
Linn,3363,50
Malheur,3271,56
Marion,17424,264
Morrow,991,12
Multnomah,30278,481
Polk,2766,41
Sherman,52,0
Tillamook,381,2
Umatilla,7222,76
Union,1197,18
Wallowa,108,3
Wasco,1177,23
Washington,20023,191
Wheeler,22,1
Yamhill,3475,57
Total,144605,1991
