County,Total Cases1,Total deaths2
Baker,612,7
Benton,2175,16
Clackamas,13052,169
Clatsop,761,6
Columbia,1176,21
Coos,1281,17
Crook,746,18
Curry,368,6
Deschutes,5714,56
Douglas,2157,51
Gilliam,53,1
Grant,220,1
Harney,248,6
Hood River,1047,29
Jackson,7904,106
Jefferson,1884,27
Josephine,2192,47
Klamath,2721,54
Lake,350,6
Lane,9836,121
Lincoln,1116,18
Linn,3497,54
Malheur,3301,58
Marion,17975,276
Morrow,1016,13
Multnomah,31182,512
Polk,2911,42
Sherman,52,0
Tillamook,393,2
Umatilla,7458,79
Union,1244,19
Wallowa,134,4
Wasco,1212,25
Washington,20628,207
Wheeler,22,1
Yamhill,3643,62
Total,150281,2137
