County,Cases1,Deaths2
Baker,842,14
Benton,2716,18
Clackamas,15139,204
Clatsop,880,8
Columbia,1528,25
Coos,1960,31
Crook,853,19
Curry,588,9
Deschutes,6929,72
Douglas,3022,65
Gilliam,55,1
Grant,379,4
Harney,304,6
Hood River,1121,29
Jackson,9793,127
Jefferson,2056,32
Josephine,3014,62
Klamath,3365,58
Lake,411,7
Lane,11421,144
Lincoln,1292,20
Linn,4086,63
Malheur,3424,58
Marion,19975,299
Morrow,1073,15
Multnomah,34555,566
Polk,3404,52
Sherman,57,0
Tillamook,573,3
Umatilla,7944,83
Union,1409,24
Wallowa,156,5
Wasco,1280,28
Washington,23239,229
Wheeler,25,1
Yamhill,4063,74
Total,172931,2455
