County,Cases1,Deaths2,Negatives3
Baker,159,3,2383
Benton,476,6,19467
Clackamas,3587,69,79403
Clatsop,272,0,7057
Columbia,290,2,9042
Coos,275,1,9408
Crook,127,4,3310
Curry,66,2,2460
Deschutes,1325,13,40442
Douglas,411,8,16058
Gilliam,17,0,382
Grant,20,0,1093
Harney,40,0,995
Hood River,293,1,6033
Jackson,2049,8,43504
Jefferson,618,11,5926
Josephine,280,4,15466
Klamath,447,3,12144
Lake,48,0,1122
Lane,2655,28,84644
Lincoln,522,13,10128
Linn,934,17,21910
Malheur,2019,38,6535
Marion,6458,115,64003
Morrow,562,7,2136
Multnomah,10312,175,184521
Polk,732,15,12711
Sherman,23,0,397
Tillamook,82,0,3778
Umatilla,3530,45,15916
Union,506,2,5413
Wallowa,61,2,1254
Wasco,369,16,6156
Washington,6412,82,118148
Wheeler,1,0,187
Yamhill,1071,15,22373
Total,47049,705,835905
