County,Cases1,Total deaths2,Negatives
Baker,566,5,0
Benton,1684,14,0
Clackamas,11577,138,0
Clatsop,669,5,0
Columbia,1033,18,0
Coos,933,15,0
Crook,604,10,0
Curry,318,5,0
Deschutes,4907,36,0
Douglas,1666,43,0
Gilliam,48,1,0
Grant,213,1,0
Harney,173,4,0
Hood River,948,21,0
Jackson,6862,84,0
Jefferson,1687,25,0
Josephine,1706,33,0
Klamath,2422,38,0
Lake,229,5,0
Lane,8219,108,0
Lincoln,985,17,0
Linn,3102,46,0
Malheur,3124,52,0
Marion,16085,238,0
Morrow,927,10,0
Multnomah,28237,458,0
Polk,2413,40,0
Sherman,47,0,0
Tillamook,362,2,0
Umatilla,6709,68,0
Union,1104,16,0
Wallowa,96,3,0
Wasco,1063,23,0
Washington,18512,171,0
Wheeler,20,1,0
Yamhill,3162,45,0
Total,132412,1799,0
