County,Cases1,Deaths2
Baker,938,14
Benton,3000,19
Clackamas,16908,209
Clatsop,966,8
Columbia,1685,26
Coos,2042,32
Crook,1045,20
Curry,640,9
Deschutes,8465,73
Douglas,3205,70
Gilliam,57,1
Grant,501,4
Harney,333,8
Hood River,1174,30
Jackson,10649,132
Jefferson,2150,33
Josephine,3290,68
Klamath,4218,61
Lake,443,7
Lane,12676,145
Lincoln,1367,20
Linn,4730,67
Malheur,3490,61
Marion,21585,304
Morrow,1098,15
Multnomah,37544,577
Polk,3678,52
Sherman,58,1
Tillamook,632,3
Umatilla,8121,84
Union,1439,23
Wallowa,180,5
Wasco,1364,28
Washington,25097,229
Wheeler,26,1
Yamhill,4368,75
Total,189162,2514
