County,Cases1,Deaths2
Baker,625,7
Benton,2240,16
Clackamas,13172,169
Clatsop,764,6
Columbia,1198,21
Coos,1335,18
Crook,760,18
Curry,386,6
Deschutes,5822,58
Douglas,2292,51
Gilliam,53,1
Grant,221,1
Harney,266,6
Hood River,1054,29
Jackson,8078,107
Jefferson,1917,27
Josephine,2247,48
Klamath,2747,54
Lake,368,6
Lane,9994,121
Lincoln,1119,19
Linn,3527,54
Malheur,3326,58
Marion,18117,279
Morrow,1026,13
Multnomah,31465,513
Polk,2963,42
Sherman,52,0
Tillamook,402,2
Umatilla,7508,80
Union,1263,19
Wallowa,141,4
Wasco,1218,25
Washington,20804,208
Wheeler,22,1
Yamhill,3698,62
Total,152190,2149
