County,Cases1,Deaths2
Baker,750,12
Benton,2582,18
Clackamas,14304,196
Clatsop,838,7
Columbia,1374,24
Coos,1881,29
Crook,811,18
Curry,545,8
Deschutes,6341,70
Douglas,2884,60
Gilliam,54,1
Grant,281,4
Harney,289,6
Hood River,1084,29
Jackson,9224,121
Jefferson,2012,31
Josephine,2789,59
Klamath,3003,56
Lake,404,6
Lane,10764,141
Lincoln,1208,20
Linn,3828,60
Malheur,3397,58
Marion,19341,297
Morrow,1062,15
Multnomah,33248,558
Polk,3223,48
Sherman,53,0
Tillamook,509,2
Umatilla,7871,82
Union,1372,21
Wallowa,149,5
Wasco,1243,27
Washington,22334,223
Wheeler,25,1
Yamhill,3935,70
Total,165012,2383
