County,Cases1,Deaths2,Negatives3
Baker,22,0,854
Benton,141,6,7911
Clackamas,1319,36,36608
Clatsop,71,0,3415
Columbia,70,0,4177
Coos,80,0,3819
Crook,39,1,1623
Curry,14,0,973
Deschutes,494,5,16582
Douglas,121,1,7533
Gilliam,3,0,152
Grant,2,0,495
Harney,8,0,530
Hood River,157,0,3473
Jackson,325,1,17835
Jefferson,281,3,2950
Josephine,98,1,6338
Klamath,184,1,6671
Lake,31,0,459
Lane,474,3,38976
Lincoln,383,8,6490
Linn,229,10,10102
Malheur,616,9,2961
Marion,2495,67,27904
Morrow,260,2,1040
Multnomah,4201,87,83105
Polk,269,12,4544
Sherman,8,0,238
Tillamook,24,0,1929
Umatilla,1802,20,8448
Union,386,2,2330
Wallowa,19,1,632
Wasco,150,3,3149
Washington,2638,22,53218
Wheeler,0,0,133
Yamhill,307,10,8837
Total,17721,311,376434
