County,Cases1,Deaths2
Baker,456,5
Benton,1311,11
Clackamas,9821,111
Clatsop,538,3
Columbia,817,14
Coos,734,6
Crook,429,7
Curry,273,3
Deschutes,3881,22
Douglas,1348,38
Gilliam,35,1
Grant,170,1
Harney,131,2
Hood River,783,12
Jackson,5721,69
Jefferson,1383,17
Josephine,1139,22
Klamath,1844,16
Lake,194,4
Lane,6729,91
Lincoln,868,17
Linn,2575,32
Malheur,2832,50
Marion,13620,207
Morrow,796,8
Multnomah,24796,385
Polk,1919,28
Sherman,31,0
Tillamook,293,0
Umatilla,5441,56
Union,975,13
Wallowa,76,3
Wasco,872,22
Washington,15785,139
Wheeler,17,0
Yamhill,2594,34
Total,111227,1449
