County,Total Cases1,Total deaths2,,,,
Baker,856,14,,,,
Benton,2732,18,,,,
Clackamas,15311,204,,,,
Clatsop,891,8,,,,
Columbia,1538,26,,,,
Coos,1968,31,,,,
Crook,878,19,,,,
Curry,593,9,,,,
Deschutes,7082,72,,,,
Douglas,3043,65,,,,
Gilliam,56,1,,,,
Grant,406,4,,,,
Harney,305,6,,,,
Hood River,1124,29,,,,
Jackson,9904,127,,,,
Jefferson,2064,32,,,,
Josephine,3054,62,,,,
Klamath,3452,59,,,,
Lake,413,7,,,,
Lane,11554,144,,,,
Lincoln,1298,20,,,,
Linn,4142,63,,,,
Malheur,3427,58,,,,
Marion,20116,299,,,,
Morrow,1079,15,,,,
Multnomah,34800,568,,,,
Polk,3429,52,,,,
Sherman,57,0,,,,
Tillamook,580,3,,,,
Umatilla,7968,83,,,,
Union,1411,24,,,,
Wallowa,157,5,,,,
Wasco,1289,28,,,,
Washington,23412,229,,,,
Wheeler,25,1,,,,
Yamhill,4087,75,,,,
Total,174501,2460,,,,
