County,Cases1,Deaths2
Baker,1030,15
Benton,3273,22
Clackamas,18967,235
Clatsop,1060,9
Columbia,1926,29
Coos,2175,37
Crook,1294,23
Curry,725,11
Deschutes,10041,82
Douglas,3906,83
Gilliam,81,1
Grant,552,7
Harney,435,9
Hood River,1218,33
Jackson,11566,146
Jefferson,2375,39
Josephine,3623,72
Klamath,4778,78
Lake,468,8
Lane,13934,165
Lincoln,1437,21
Linn,5636,81
Malheur,3621,63
Marion,23473,324
Morrow,1157,16
Multnomah,40422,614
Polk,4013,56
Sherman,70,1
Tillamook,660,4
Umatilla,8616,87
Union,1502,24
Wallowa,194,5
Wasco,1455,30
Washington,26826,249
Wheeler,35,1
Yamhill,4789,79
Total,207333,2759
