County,Cases1,Deaths2,Negatives3
Baker,86,2,1414
Benton,228,6,11206
Clackamas,2095,58,53956
Clatsop,97,0,5017
Columbia,136,1,6213
Coos,126,0,5784
Crook,58,1,2350
Curry,23,0,1450
Deschutes,705,11,25649
Douglas,182,3,11314
Gilliam,4,0,255
Grant,8,0,794
Harney,12,0,732
Hood River,238,0,4578
Jackson,921,3,25936
Jefferson,476,7,4333
Josephine,170,2,9759
Klamath,236,2,9310
Lake,30,0,774
Lane,801,9,55865
Lincoln,470,13,8055
Linn,405,13,14506
Malheur,1299,20,4485
Marion,4085,85,42533
Morrow,459,3,1570
Multnomah,6343,124,126389
Polk,458,15,7772
Sherman,18,0,319
Tillamook,43,0,2739
Umatilla,2795,39,12104
Union,423,2,3048
Wallowa,23,1,870
Wasco,223,3,4483
Washington,3996,49,82147
Wheeler,0,0,156
Yamhill,683,14,15279
Total,28355,486,563144
