County,Positive,Deaths,Negative
Baker,0,0,72
Benton,32,5,1342
Clackamas,222,7,5396
Clatsop,7,0,487
Columbia,14,0,711
Coos,21,0,599
Crook,1,0,225
Curry,4,0,159
Deschutes,76,0,1936
Douglas,24,0,1048
Gilliam,0,0,21
Grant,1,0,50
Harney,1,0,60
Hood River,6,0,474
Jackson,49,0,4166
Jefferson,10,0,275
Josephine,21,1,1060
Klamath,39,0,1996
Lake,0,0,70
Lane,50,2,3538
Lincoln,5,0,531
Linn,87,7,1827
Malheur,10,0,253
Marion,508,18,4251
Morrow,8,0,87
Multnomah,720,44,12753
Polk,42,1,841
Sherman,1,0,29
Tillamook,6,0,313
Umatilla,57,0,680
Union,4,0,128
Wallowa,1,0,34
Wasco,13,1,591
Washington,500,11,8192
Wheeler,0,0,11
Yamhill,39,7,1391
Total,2579,104,55597
