County,Cases1,Deaths2,Negatives3
Baker,1,0,200
Benton,55,5,3614
Clackamas,304,11,10927
Clatsop,45,0,1445
Columbia,16,0,1453
Coos,31,0,1374
Crook,6,0,534
Curry,6,0,324
Deschutes,121,0,4965
Douglas,25,0,2430
Gilliam,0,0,54
Grant,1,0,97
Harney,1,0,195
Hood River,13,0,982
Jackson,65,0,6500
Jefferson,25,0,811
Josephine,25,1,2073
Klamath,41,0,3336
Lake,2,0,124
Lane,67,2,9302
Lincoln,10,0,1403
Linn,115,9,3844
Malheur,33,0,666
Marion,931,25,9060
Morrow,12,0,155
Multnomah,1103,59,24849
Polk,98,11,1749
Sherman,1,0,74
Tillamook,6,0,680
Umatilla,114,3,1552
Union,6,0,389
Wallowa,2,0,118
Wasco,21,1,1080
Washington,715,17,16358
Wheeler,0,0,88
Yamhill,69,7,2739
Total,4086,151,115544
