County,Total Cases1,Total deaths2
Baker,981,15
Benton,3215,22
Clackamas,18500,227
Clatsop,1013,8
Columbia,1858,29
Coos,2147,37
Crook,1231,22
Curry,677,10
Deschutes,9750,79
Douglas,3666,78
Gilliam,71,1
Grant,538,6
Harney,400,9
Hood River,1210,32
Jackson,11325,145
Jefferson,2335,38
Josephine,3498,72
Klamath,4717,75
Lake,464,7
Lane,13644,155
Lincoln,1406,21
Linn,5426,77
Malheur,3580,63
Marion,23043,320
Morrow,1142,16
Multnomah,39767,607
Polk,3900,55
Sherman,64,1
Tillamook,660,4
Umatilla,8469,86
Union,1476,23
Wallowa,192,5
Wasco,1432,28
Washington,26469,239
Wheeler,34,1
Yamhill,4695,78
Total,202995,2691
