County,Cases1,Deaths2,Negatives3
Baker,12,0,647
Benton,115,6,6757
Clackamas,1006,28,28063
Clatsop,55,0,2797
Columbia,54,0,3331
Coos,54,0,3061
Crook,18,1,1213
Curry,9,0,792
Deschutes,268,0,12772
Douglas,64,0,5916
Gilliam,2,0,119
Grant,1,0,408
Harney,2,0,455
Hood River,106,0,2739
Jackson,181,0,14170
Jefferson,168,0,2342
Josephine,57,1,5017
Klamath,138,1,5626
Lake,24,0,334
Lane,309,3,28518
Lincoln,361,5,5124
Linn,182,10,7935
Malheur,400,2,2215
Marion,1893,54,20864
Morrow,154,1,690
Multnomah,2966,72,63732
Polk,179,12,3347
Sherman,5,0,190
Tillamook,16,0,1578
Umatilla,1041,8,5377
Union,369,2,1854
Wallowa,15,0,498
Wasco,117,1,2540
Washington,1892,21,40368
Wheeler,0,0,124
Yamhill,205,9,6761
Total,12438,237,288274
