County,Cases1,Deaths2
Baker,1031,15
Benton,3275,22
Clackamas,18981,235
Clatsop,1063,9
Columbia,1930,29
Coos,2177,37
Crook,1295,23
Curry,732,11
Deschutes,10055,82
Douglas,3916,83
Gilliam,81,1
Grant,552,7
Harney,436,9
Hood River,1219,33
Jackson,11581,146
Jefferson,2378,39
Josephine,3638,72
Klamath,4782,78
Lake,469,8
Lane,13944,166
Lincoln,1440,21
Linn,5653,81
Malheur,3620,63
Marion,23497,324
Morrow,1158,16
Multnomah,40446,614
Polk,4020,56
Sherman,70,1
Tillamook,661,4
Umatilla,8627,87
Union,1502,24
Wallowa,194,5
Wasco,1456,30
Washington,26850,249
Wheeler,35,1
Yamhill,4794,79
Total,207558,2760
