County,Cases1,Total deaths2,Negative tests3,,,
Baker,19,0,799,,,
Benton,133,6,7772,,,
Clackamas,1255,34,34806,,,
Clatsop,68,0,3255,,,
Columbia,67,0,3963,,,
Coos,79,0,3573,,,
Crook,31,1,1450,,,
Curry,13,0,931,,,
Deschutes,439,3,15490,,,
Douglas,116,1,7158,,,
Gilliam,3,0,142,,,
Grant,2,0,474,,,
Harney,6,0,513,,,
Hood River,149,0,3336,,,
Jackson,276,0,16858,,,
Jefferson,253,0,2800,,,
Josephine,84,1,6023,,,
Klamath,180,1,6523,,,
Lake,31,0,415,,,
Lane,440,3,37144,,,
Lincoln,379,8,6384,,,
Linn,218,10,9784,,,
Malheur,566,7,2777,,,
Marion,2385,64,26523,,,
Morrow,232,1,996,,,
Multnomah,3883,81,78926,,,
Polk,243,12,4200,,,
Sherman,8,0,231,,,
Tillamook,24,0,1852,,,
Umatilla,1638,16,7562,,,
Union,385,2,2239,,,
Wallowa,18,1,588,,,
Wasco,141,3,2991,,,
Washington,2457,21,50514,,,
Wheeler,0,0,132,,,
Yamhill,271,9,8444,,,
Total,16492,285,357518,,,
