Updated_4/8/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"168,795"
Total deaths,"2,439"
Positive tests,"244,102"
Negative tests,"4,060,298"
Total tests,"4,304,400"
