County,Cases1,Deaths2,Negatives3
Baker,75,2,1379
Benton,217,6,10690
Clackamas,1981,56,51972
Clatsop,96,0,4855
Columbia,130,1,5925
Coos,118,0,5500
Crook,55,1,2311
Curry,21,0,1333
Deschutes,694,11,24542
Douglas,179,3,10496
Gilliam,4,0,244
Grant,8,0,768
Harney,12,0,709
Hood River,236,0,4479
Jackson,835,3,24631
Jefferson,461,7,4224
Josephine,161,2,9136
Klamath,235,2,8905
Lake,29,0,710
Lane,736,6,54069
Lincoln,466,13,7793
Linn,391,13,13886
Malheur,1196,19,4215
Marion,3887,80,40509
Morrow,440,3,1515
Multnomah,6081,120,120581
Polk,436,15,7439
Sherman,18,0,306
Tillamook,38,0,2661
Umatilla,2707,38,11728
Union,420,2,2987
Wallowa,23,1,852
Wasco,208,3,4343
Washington,3838,47,78851
Wheeler,0,0,152
Yamhill,643,14,14611
Total,27075,468,539307
