Updated_6/16/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"205,698"
Total deaths,"2,744"
Positive tests,"298,281"
Negative tests,"4,990,462"
Total tests,"5,288,743"
