County,Positive,Deaths,Negative
Baker,0,0,70
Benton,30,5,1182
Clackamas,214,7,5155
Clatsop,6,0,474
Columbia,14,0,686
Coos,20,0,569
Crook,1,0,217
Curry,4,0,149
Deschutes,76,0,1903
Douglas,23,0,1028
Gilliam,0,0,21
Grant,1,0,50
Harney,1,0,55
Hood River,6,0,463
Jackson,49,0,4102
Jefferson,10,0,249
Josephine,20,1,1046
Klamath,38,0,1895
Lake,0,0,67
Lane,50,2,3388
Lincoln,5,0,510
Linn,86,7,1748
Malheur,8,0,241
Marion,491,18,4139
Morrow,6,0,85
Multnomah,707,43,12279
Polk,39,1,807
Sherman,1,0,26
Tillamook,6,0,304
Umatilla,50,0,649
Union,4,0,118
Wallowa,1,0,34
Wasco,13,1,581
Washington,491,11,7872
Wheeler,0,0,11
Yamhill,39,7,1349
Total,2510,103,53522
