Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,161,708
Adult non-ICU beds,664,"4,509"
Pediatric NICU/PICU beds,144,389
Pediatric non-ICU beds,99,340
Ventilators,786,
