County,Positive,Deaths,Negative
Baker,1,0,95
Benton,44,5,2306
Clackamas,256,9,6980
Clatsop,28,0,789
Columbia,15,0,911
Coos,30,0,749
Crook,1,0,281
Curry,4,0,203
Deschutes,85,0,2535
Douglas,24,0,1418
Gilliam,0,0,30
Grant,1,0,67
Harney,1,0,82
Hood River,12,0,683
Jackson,49,0,4608
Jefferson,24,0,422
Josephine,24,1,1265
Klamath,39,0,2438
Lake,0,0,77
Lane,60,2,5264
Lincoln,6,0,750
Linn,102,8,2445
Malheur,14,0,340
Marion,663,23,5394
Morrow,12,0,97
Multnomah,863,53,15860
Polk,82,5,1083
Sherman,1,0,45
Tillamook,6,0,393
Umatilla,84,1,890
Union,4,0,158
Wallowa,1,0,47
Wasco,15,1,733
Washington,562,12,10244
Wheeler,0,0,20
Yamhill,47,7,1749
Total,3160,127,71451
