County,Cases1,Deaths2,Negatives3
Baker,301,4,0
Benton,855,7,0
Clackamas,6841,83,0
Clatsop,382,0,0
Columbia,544,4,0
Coos,458,3,0
Crook,248,6,0
Curry,153,2,0
Deschutes,2558,15,0
Douglas,998,19,0
Gilliam,23,0,0
Grant,139,1,0
Harney,105,1,0
Hood River,434,3,0
Jackson,4028,38,0
Jefferson,878,11,0
Josephine,579,5,0
Klamath,947,5,0
Lake,145,1,0
Lane,4586,50,0
Lincoln,670,15,0
Linn,1641,24,0
Malheur,2472,45,0
Marion,9745,153,0
Morrow,675,7,0
Multnomah,18432,251,0
Polk,1343,19,0
Sherman,23,0,0
Tillamook,148,0,0
Umatilla,4502,50,0
Union,815,8,0
Wallowa,72,3,0
Wasco,554,19,0
Washington,11175,104,0
Wheeler,6,0,0
Yamhill,1818,17,0
Total,79293,973,0
