County,Cases1,Deaths2
Baker,718,12
Benton,2520,18
Clackamas,14027,196
Clatsop,825,7
Columbia,1328,24
Coos,1830,27
Crook,799,18
Curry,533,8
Deschutes,6244,70
Douglas,2816,58
Gilliam,54,1
Grant,266,3
Harney,283,6
Hood River,1080,29
Jackson,9056,120
Jefferson,2005,31
Josephine,2714,59
Klamath,2936,56
Lake,399,6
Lane,10636,140
Lincoln,1192,20
Linn,3768,59
Malheur,3388,58
Marion,19206,296
Morrow,1055,14
Multnomah,32864,558
Polk,3175,48
Sherman,53,0
Tillamook,481,2
Umatilla,7844,82
Union,1355,20
Wallowa,145,5
Wasco,1240,27
Washington,22053,221
Wheeler,25,1
Yamhill,3891,70
Total,162806,2370
