County,Cases1,Deaths2,Negatives3
Baker,1,0,237
Benton,55,5,3803
Clackamas,317,11,11934
Clatsop,45,0,1558
Columbia,16,0,1558
Coos,31,0,1586
Crook,6,0,601
Curry,7,0,362
Deschutes,127,0,5521
Douglas,27,0,2779
Gilliam,0,0,58
Grant,1,0,102
Harney,1,0,227
Hood River,18,0,1058
Jackson,67,0,6969
Jefferson,44,0,958
Josephine,24,1,2293
Klamath,44,0,3607
Lake,2,0,137
Lane,77,3,11201
Lincoln,15,0,1542
Linn,117,9,4185
Malheur,32,0,722
Marion,973,26,9830
Morrow,12,0,185
Multnomah,1171,59,27145
Polk,100,12,1904
Sherman,1,0,79
Tillamook,6,0,723
Umatilla,120,3,1701
Union,6,0,427
Wallowa,2,0,139
Wasco,24,1,1235
Washington,743,17,17874
Wheeler,0,0,98
Yamhill,70,7,2945
Total,4302,154,127293
