County,Cases1,Deaths2
Baker,502,5
Benton,1427,11
Clackamas,10618,114
Clatsop,606,3
Columbia,905,16
Coos,838,13
Crook,494,8
Curry,298,3
Deschutes,4280,24
Douglas,1480,42
Gilliam,41,1
Grant,171,1
Harney,147,3
Hood River,854,20
Jackson,6210,75
Jefferson,1562,20
Josephine,1351,26
Klamath,2065,21
Lake,208,4
Lane,7337,95
Lincoln,921,17
Linn,2800,35
Malheur,2958,51
Marion,14793,218
Morrow,852,8
Multnomah,26285,405
Polk,2124,33
Sherman,33,0
Tillamook,335,1
Umatilla,5988,58
Union,998,16
Wallowa,84,3
Wasco,943,22
Washington,16868,149
Wheeler,17,1
Yamhill,2830,36
Total,120223,1558
