County,Cases1,Deaths2
Baker,646,7
Benton,2303,16
Clackamas,13289,175
Clatsop,776,6
Columbia,1241,21
Coos,1401,19
Crook,779,18
Curry,411,6
Deschutes,5922,58
Douglas,2402,52
Gilliam,53,1
Grant,222,1
Harney,271,6
Hood River,1061,29
Jackson,8224,110
Jefferson,1941,27
Josephine,2303,49
Klamath,2768,54
Lake,374,6
Lane,10127,124
Lincoln,1125,20
Linn,3549,56
Malheur,3339,58
Marion,18279,284
Morrow,1041,14
Multnomah,31723,527
Polk,3016,42
Sherman,53,0
Tillamook,409,2
Umatilla,7614,81
Union,1271,19
Wallowa,142,4
Wasco,1219,26
Washington,21001,211
Wheeler,22,1
Yamhill,3745,64
Total,154062,2194
