County,Cases1,Deaths2
Baker,580,5
Benton,1769,14
Clackamas,11866,139
Clatsop,699,5
Columbia,1055,18
Coos,962,15
Crook,631,11
Curry,323,5
Deschutes,5103,39
Douglas,1731,43
Gilliam,52,1
Grant,213,1
Harney,179,4
Hood River,969,21
Jackson,7043,90
Jefferson,1718,25
Josephine,1805,35
Klamath,2488,44
Lake,237,5
Lane,8564,113
Lincoln,1015,17
Linn,3170,49
Malheur,3182,53
Marion,16475,242
Morrow,955,10
Multnomah,28796,460
Polk,2510,40
Sherman,47,0
Tillamook,368,2
Umatilla,6890,71
Union,1131,16
Wallowa,98,3
Wasco,1102,23
Washington,18973,176
Wheeler,20,1
Yamhill,3254,47
Total,135973,1843
