County,Cases1,Total deaths2,Negative tests3
Baker,86,2,1412
Benton,227,6,11133
Clackamas,2079,58,53647
Clatsop,97,0,4997
Columbia,136,1,6192
Coos,126,0,5750
Crook,57,1,2344
Curry,23,0,1441
Deschutes,704,11,25559
Douglas,182,3,11107
Gilliam,4,0,253
Grant,8,0,794
Harney,12,0,728
Hood River,238,0,4566
Jackson,904,3,25747
Jefferson,474,7,4323
Josephine,171,2,9659
Klamath,236,2,9277
Lake,30,0,765
Lane,795,8,55628
Lincoln,470,13,8039
Linn,405,13,14427
Malheur,1295,20,4467
Marion,4061,82,42284
Morrow,455,3,1563
Multnomah,6302,124,125646
Polk,453,15,7737
Sherman,18,0,318
Tillamook,43,0,2728
Umatilla,2785,39,12020
Union,423,2,3035
Wallowa,23,1,869
Wasco,222,3,4468
Washington,3974,49,81709
Wheeler,0,0,156
Yamhill,672,14,15188
Total,28190,482,559976
