County,Cases1,Deaths2,Negatives3
Baker,55,0,1281
Benton,190,6,9628
Clackamas,1725,55,46349
Clatsop,91,0,4247
Columbia,118,1,5165
Coos,93,0,4630
Crook,54,1,2037
Curry,19,0,1177
Deschutes,654,11,21277
Douglas,166,1,9313
Gilliam,4,0,228
Grant,4,0,621
Harney,11,0,639
Hood River,221,0,4147
Jackson,618,2,21894
Jefferson,426,6,3841
Josephine,150,2,7877
Klamath,217,2,8057
Lake,32,0,598
Lane,636,4,48267
Lincoln,440,11,7279
Linn,344,11,12273
Malheur,956,16,3814
Marion,3315,73,35591
Morrow,410,3,1370
Multnomah,5448,108,106913
Polk,374,13,6218
Sherman,16,0,285
Tillamook,36,0,2351
Umatilla,2478,32,10444
Union,403,2,2782
Wallowa,21,1,756
Wasco,204,3,4055
Washington,3403,31,69197
Wheeler,0,0,145
Yamhill,538,13,12540
Total,23870,408,477286
