County,Cases1,Deaths2,Negatives3
Baker,1,0,186
Benton,55,5,3579
Clackamas,296,10,10558
Clatsop,45,0,1394
Columbia,16,0,1405
Coos,31,0,1344
Crook,6,0,523
Curry,6,0,310
Deschutes,120,0,4812
Douglas,25,0,2229
Gilliam,0,0,54
Grant,1,0,97
Harney,1,0,197
Hood River,12,0,955
Jackson,60,0,6234
Jefferson,24,0,783
Josephine,25,1,1962
Klamath,41,0,3226
Lake,0,0,121
Lane,67,2,8826
Lincoln,9,0,1369
Linn,115,9,3737
Malheur,28,0,634
Marion,914,25,8834
Morrow,12,0,156
Multnomah,1052,58,24232
Polk,96,10,1687
Sherman,1,0,71
Tillamook,6,0,634
Umatilla,112,3,1482
Union,6,0,333
Wallowa,2,0,98
Wasco,18,1,1066
Washington,698,17,15654
Wheeler,0,0,78
Yamhill,66,7,2695
Total,3967,148,111555
