County,Positive,Deaths,Negative
Baker,0,0,7
Benton,8,0,283
Clackamas,36,2,870
Clatsop,3,0,77
Columbia,1,0,108
Coos,0,0,119
Crook,0,0,7
Curry,0,0,32
Deschutes,20,0,165
Douglas,4,0,154
Gilliam,0,0,4
Grant,1,0,1
Harney,0,0,21
Hood River,1,0,100
Jackson,8,0,1076
Jefferson,0,0,11
Josephine,5,0,114
Klamath,2,0,84
Lake,0,0,13
Lane,9,1,454
Lincoln,1,0,58
Linn,32,1,573
Malheur,0,0,28
Marion,94,3,862
Morrow,1,0,20
Multnomah,81,2,2430
Polk,11,0,202
Sherman,0,0,2
Tillamook,1,0,40
Umatilla,4,0,102
Union,1,0,19
Wallowa,0,0,3
Wasco,2,0,66
Washington,140,3,1286
Wheeler,0,0,1
Yamhill,13,1,301
Total,479,13,9693
