County,Cases1,Deaths2
Baker,721,12
Benton,2534,18
Clackamas,14099,196
Clatsop,830,7
Columbia,1337,24
Coos,1845,28
Crook,801,18
Curry,533,8
Deschutes,6269,70
Douglas,2826,59
Gilliam,54,1
Grant,270,3
Harney,285,6
Hood River,1081,29
Jackson,9084,120
Jefferson,2007,31
Josephine,2729,59
Klamath,2942,56
Lake,399,6
Lane,10661,141
Lincoln,1194,20
Linn,3779,59
Malheur,3391,58
Marion,19233,296
Morrow,1055,14
Multnomah,32971,558
Polk,3189,48
Sherman,53,0
Tillamook,489,2
Umatilla,7851,82
Union,1356,20
Wallowa,146,5
Wasco,1240,27
Washington,22114,221
Wheeler,25,1
Yamhill,3901,70
Total,163295,2373
