County,Cases1,Deaths2,Negatives3
Baker,1,0,118
Benton,50,5,3050
Clackamas,271,9,7936
Clatsop,36,0,975
Columbia,16,0,1054
Coos,30,0,931
Crook,1,0,345
Curry,4,0,235
Deschutes,91,0,3172
Douglas,24,0,1630
Gilliam,0,0,35
Grant,1,0,86
Harney,1,0,108
Hood River,14,0,780
Jackson,50,0,5063
Jefferson,24,0,537
Josephine,25,1,1434
Klamath,41,0,2682
Lake,0,0,92
Lane,61,2,6466
Lincoln,6,0,969
Linn,107,8,2807
Malheur,16,0,382
Marion,779,23,6099
Morrow,12,0,117
Multnomah,940,55,18323
Polk,91,9,1218
Sherman,1,0,49
Tillamook,6,0,459
Umatilla,88,2,1089
Union,4,0,184
Wallowa,1,0,65
Wasco,16,1,835
Washington,616,15,11833
Wheeler,0,0,71
Yamhill,55,7,2034
Total,3479,137,83263
