County,Cases1,Deaths2,Negatives3
Baker,1,0,184
Benton,55,5,3566
Clackamas,294,10,10385
Clatsop,45,0,1384
Columbia,16,0,1384
Coos,31,0,1334
Crook,5,0,500
Curry,6,0,305
Deschutes,120,0,4629
Douglas,25,0,2195
Gilliam,0,0,52
Grant,1,0,97
Harney,1,0,190
Hood River,12,0,944
Jackson,60,0,6039
Jefferson,24,0,762
Josephine,26,1,1920
Klamath,41,0,3208
Lake,0,0,117
Lane,67,2,8734
Lincoln,9,0,1340
Linn,115,9,3699
Malheur,28,0,622
Marion,909,25,8737
Morrow,12,0,156
Multnomah,1045,58,23858
Polk,96,10,1672
Sherman,1,0,70
Tillamook,6,0,619
Umatilla,112,3,1476
Union,6,0,330
Wallowa,2,0,98
Wasco,18,1,1050
Washington,695,17,15448
Wheeler,0,0,78
Yamhill,65,7,2649
Total,3949,148,109894
