Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,198,772
Adult non-ICU beds,1019,4516
Pediatric NICU/PICU beds,92,281
Pediatric non-ICU beds,129,339
Ventilators,797,
