County,Cases1,Deaths2
Baker,491,5
Benton,1419,11
Clackamas,10545,114
Clatsop,591,3
Columbia,897,16
Coos,825,13
Crook,490,7
Curry,297,3
Deschutes,4276,24
Douglas,1474,41
Gilliam,39,1
Grant,170,1
Harney,145,3
Hood River,848,20
Jackson,6173,74
Jefferson,1549,20
Josephine,1340,24
Klamath,2032,21
Lake,203,4
Lane,7287,95
Lincoln,918,17
Linn,2781,35
Malheur,2941,51
Marion,14660,218
Morrow,850,8
Multnomah,26180,404
Polk,2111,33
Sherman,32,0
Tillamook,331,1
Umatilla,5938,58
Union,995,16
Wallowa,82,3
Wasco,936,22
Washington,16838,147
Wheeler,17,1
Yamhill,2787,36
Total,119488,1550
