County,Cases1,Deaths2,Negatives3
Baker,42,0,1098
Benton,178,6,9024
Clackamas,1595,47,42123
Clatsop,89,0,3919
Columbia,102,0,4734
Coos,91,0,4232
Crook,50,1,1847
Curry,17,0,1096
Deschutes,617,10,19732
Douglas,159,1,8706
Gilliam,4,0,199
Grant,4,0,571
Harney,11,0,602
Hood River,205,0,3957
Jackson,499,2,20606
Jefferson,379,4,3615
Josephine,128,2,7288
Klamath,204,2,7711
Lake,32,0,556
Lane,606,3,45441
Lincoln,421,9,7039
Linn,303,11,11558
Malheur,839,14,3556
Marion,3005,73,33208
Morrow,378,3,1284
Multnomah,5056,98,98227
Polk,330,12,5652
Sherman,16,0,275
Tillamook,34,0,2192
Umatilla,2342,31,9890
Union,395,2,2671
Wallowa,20,1,730
Wasco,195,3,3808
Washington,3202,27,62415
Wheeler,0,0,139
Yamhill,474,13,10819
Total,22022,375,440520
