County,Case Count,Deaths,Negatives3
Baker,316,4,0
Benton,877,7,0
Clackamas,7012,83,0
Clatsop,397,0,0
Columbia,552,4,0
Coos,487,3,0
Crook,268,6,0
Curry,159,2,0
Deschutes,2685,15,0
Douglas,1026,20,0
Gilliam,24,0,0
Grant,142,1,0
Harney,108,1,0
Hood River,460,3,0
Jackson,4201,41,0
Jefferson,912,11,0
Josephine,616,5,0
Klamath,1043,7,0
Lake,145,1,0
Lane,4706,52,0
Lincoln,678,16,0
Linn,1704,24,0
Malheur,2508,45,0
Marion,9933,158,0
Morrow,693,7,0
Multnomah,18813,263,0
Polk,1387,20,0
Sherman,24,0,0
Tillamook,152,0,0
Umatilla,4574,50,0
Union,836,8,0
Wallowa,72,3,0
Wasco,575,19,0
Washington,11493,107,0
Wheeler,6,0,0
Yamhill,1853,17,0
Total,81437,1003,0
