County,Cases1,Deaths2,Negatives3
Baker,113,3,2158
Benton,424,6,17039
Clackamas,3014,65,72934
Clatsop,237,0,6550
Columbia,250,1,8330
Coos,231,0,8466
Crook,95,2,3012
Curry,56,1,2260
Deschutes,1087,13,36836
Douglas,339,5,14905
Gilliam,11,0,355
Grant,10,0,1015
Harney,20,0,921
Hood River,273,1,5734
Jackson,1584,6,40129
Jefferson,599,9,5481
Josephine,261,3,14139
Klamath,404,3,11521
Lake,34,0,1038
Lane,2242,27,76331
Lincoln,509,13,9592
Linn,769,15,19903
Malheur,1884,37,6190
Marion,5627,106,57470
Morrow,542,6,1997
Multnomah,8825,157,169793
Polk,640,15,11295
Sherman,18,0,383
Tillamook,70,0,3502
Umatilla,3308,44,14879
Union,464,2,5020
Unknown,0,0,1
Wallowa,40,2,1139
Wasco,345,15,5762
Washington,5524,74,108488
Wheeler,1,0,182
Yamhill,960,15,20441
Total,40810,646,765191
