County,Cases1,Deaths2
Baker,414,5
Benton,1244,11
Clackamas,9331,110
Clatsop,510,2
Columbia,772,12
Coos,676,6
Crook,406,7
Curry,254,3
Deschutes,3670,20
Douglas,1321,37
Gilliam,33,1
Grant,166,1
Harney,126,1
Hood River,738,10
Jackson,5459,63
Jefferson,1313,16
Josephine,1026,20
Klamath,1696,15
Lake,187,4
Lane,6404,84
Lincoln,819,17
Linn,2433,32
Malheur,2773,49
Marion,12895,201
Morrow,780,8
Multnomah,23811,379
Polk,1809,25
Sherman,31,0
Tillamook,271,0
Umatilla,5268,55
Union,958,13
Wallowa,75,3
Wasco,815,22
Washington,14994,138
Wheeler,16,0
Yamhill,2476,33
Total,105970,1403
