County,Cases1,Deaths2
Baker,988,15
Benton,3230,22
Clackamas,18662,234
Clatsop,1022,8
Columbia,1876,29
Coos,2154,37
Crook,1254,23
Curry,681,10
Deschutes,9889,80
Douglas,3733,80
Gilliam,72,1
Grant,545,7
Harney,410,9
Hood River,1215,33
Jackson,11378,146
Jefferson,2348,38
Josephine,3522,72
Klamath,4744,76
Lake,465,7
Lane,13733,156
Lincoln,1409,21
Linn,5475,79
Malheur,3592,63
Marion,23189,322
Morrow,1146,16
Multnomah,39970,611
Polk,3924,55
Sherman,65,1
Tillamook,660,4
Umatilla,8497,86
Union,1485,24
Wallowa,193,5
Wasco,1433,29
Washington,26567,247
Wheeler,34,1
Yamhill,4731,79
Total,204291,2726
