County,Cases1,Total deaths2,Negative tests3
Baker,70,2,1355
Benton,208,6,10388
Clackamas,1923,56,50369
Clatsop,95,0,4749
Columbia,128,1,5787
Coos,112,0,5298
Crook,54,1,2224
Curry,20,0,1292
Deschutes,687,10,23784
Douglas,177,2,10106
Gilliam,4,0,243
Grant,8,0,688
Harney,12,0,687
Hood River,224,0,4393
Jackson,793,2,23655
Jefferson,457,7,4161
Josephine,154,2,8798
Klamath,235,2,8748
Lake,30,0,673
Lane,693,6,52279
Lincoln,464,13,7656
Linn,380,12,13559
Malheur,1148,19,4118
Marion,3746,79,39246
Morrow,431,3,1494
Multnomah,5942,118,116763
Polk,411,14,7099
Sherman,16,0,303
Tillamook,38,0,2601
Umatilla,2634,37,11508
Union,418,2,2932
Wallowa,22,1,822
Wasco,206,3,4276
Washington,3727,42,76095
Wheeler,0,0,152
Yamhill,626,14,14256
Total,26293,454,522557
