County,Positive,Deaths,Negative
Baker,0,0,18
Benton,21,1,492
Clackamas,103,3,2148
Clatsop,5,0,216
Columbia,9,0,237
Coos,0,0,275
Crook,1,0,82
Curry,2,0,81
Deschutes,45,0,878
Douglas,12,0,418
Gilliam,0,0,9
Grant,1,0,16
Harney,0,0,39
Hood River,3,0,203
Jackson,40,0,2519
Jefferson,0,0,81
Josephine,16,0,498
Klamath,19,0,344
Lake,0,0,38
Lane,31,1,1002
Lincoln,4,0,180
Linn,46,2,1015
Malheur,2,0,110
Marion,218,9,1957
Morrow,3,0,33
Multnomah,286,10,5487
Polk,28,1,399
Sherman,1,0,7
Tillamook,3,0,120
Umatilla,8,0,275
Union,3,0,52
Wallowa,2,0,15
Wasco,7,0,206
Washington,295,6,3195
Wheeler,0,0,4
Yamhill,25,5,676
Total,1239,38,23325
