County,Case Count,Deaths,Negatives
Baker,363,4,0
Benton,1080,8,0
Clackamas,8247,97,0
Clatsop,457,1,0
Columbia,675,7,0
Coos,589,4,0
Crook,351,6,0
Curry,211,2,0
Deschutes,3262,18,0
Douglas,1204,30,0
Gilliam,26,1,0
Grant,159,1,0
Harney,117,1,0
Hood River,585,5,0
Jackson,4897,50,0
Jefferson,1151,12,0
Josephine,839,10,0
Klamath,1415,11,0
Lake,174,1,0
Lane,5629,68,0
Lincoln,777,16,0
Linn,2099,27,0
Malheur,2625,45,0
Marion,11577,180,0
Morrow,748,7,0
Multnomah,21560,305,0
Polk,1608,24,0
Sherman,27,0,0
Tillamook,196,0,0
Umatilla,4904,52,0
Union,907,10,0
Wallowa,74,3,0
Wasco,701,19,0
Washington,13558,117,0
Wheeler,11,0,0
Yamhill,2207,19,0
Total,95010,1161,0
