County,Cases1,Deaths2,Negatives3
Baker,90,2,1539
Benton,286,6,12393
Clackamas,2304,61,57396
Clatsop,124,0,5335
Columbia,154,1,6672
Coos,145,0,6517
Crook,61,1,2489
Curry,31,0,1746
Deschutes,787,12,28483
Douglas,221,3,12326
Gilliam,8,0,267
Grant,8,0,867
Harney,12,0,771
Hood River,246,0,4804
Jackson,1069,4,32110
Jefferson,513,8,4522
Josephine,190,2,11402
Klamath,277,2,9948
Lake,28,0,857
Lane,1023,15,61002
Lincoln,474,13,8456
Linn,478,13,15731
Malheur,1553,25,4878
Marion,4504,91,45664
Morrow,490,6,1706
Multnomah,6912,133,134551
Polk,511,15,8523
Sherman,18,0,328
Tillamook,49,0,2952
Umatilla,2916,41,12795
Union,435,2,3472
Wallowa,28,1,934
Wasco,269,3,4798
Washington,4355,58,88338
Wheeler,0,0,161
Yamhill,744,14,16535
Total,31313,532,611268
