County,Cases1,Total deaths2
Baker,582,5
Benton,1820,14
Clackamas,12039,141
Clatsop,707,5
Columbia,1076,18
Coos,1009,15
Crook,661,13
Curry,325,5
Deschutes,5194,40
Douglas,1774,45
Gilliam,53,1
Grant,217,1
Harney,181,6
Hood River,985,21
Jackson,7169,96
Jefferson,1738,25
Josephine,1845,36
Klamath,2550,46
Lake,253,5
Lane,8767,113
Lincoln,1033,17
Linn,3212,49
Malheur,3201,55
Marion,16740,248
Morrow,966,10
Multnomah,29114,464
Polk,2581,40
Sherman,47,0
Tillamook,370,2
Umatilla,6992,73
Union,1151,17
Wallowa,99,3
Wasco,1119,23
Washington,19279,179
Wheeler,20,1
Yamhill,3299,48
Total,138168,1880
