Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,180,797
Adult non-ICU beds,1719,6742
Pediatric NICU/PICU beds,89,314
Pediatric non-ICU beds,125,339
Ventilators,783,
