County,Positive,Deaths,Negative
Baker,0,0,34
Benton,27,4,582
Clackamas,150,3,3037
Clatsop,6,0,305
Columbia,14,0,406
Coos,1,0,361
Crook,1,0,122
Curry,3,0,101
Deschutes,59,0,1185
Douglas,22,0,580
Gilliam,0,0,16
Grant,1,0,38
Harney,0,0,44
Hood River,4,0,329
Jackson,47,0,3188
Jefferson,1,0,116
Josephine,19,1,735
Klamath,29,0,981
Lake,0,0,50
Lane,45,1,1675
Lincoln,4,0,289
Linn,54,4,1217
Malheur,5,0,163
Marion,309,11,2666
Morrow,5,0,47
Multnomah,448,26,7693
Polk,30,1,533
Sherman,1,0,16
Tillamook,5,0,169
Umatilla,22,0,421
Union,4,0,88
Wallowa,1,0,21
Wasco,10,0,359
Washington,376,7,4767
Wheeler,0,0,6
Yamhill,33,6,862
Total,1736,64,33202
