Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,203,770
Adult non-ICU beds,1062,4561
Pediatric NICU/PICU beds,90,282
Pediatric non-ICU beds,126,334
Ventilators,788,
