Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,196,815
Adult non-ICU beds,1672,6742
Pediatric NICU/PICU beds,78,316
Pediatric non-ICU beds,127,346
Ventilators,780,
