County,Cases1,Deaths2
Baker,1011,15
Benton,3265,22
Clackamas,18932,235
Clatsop,1058,9
Columbia,1921,29
Coos,2166,37
Crook,1291,23
Curry,710,11
Deschutes,10018,82
Douglas,3884,83
Gilliam,80,1
Grant,550,7
Harney,433,9
Hood River,1216,33
Jackson,11535,146
Jefferson,2370,39
Josephine,3606,72
Klamath,4776,78
Lake,467,8
Lane,13908,164
Lincoln,1430,21
Linn,5611,81
Malheur,3614,63
Marion,23425,323
Morrow,1154,16
Multnomah,40371,614
Polk,3993,56
Sherman,67,1
Tillamook,660,4
Umatilla,8593,87
Union,1499,24
Wallowa,194,5
Wasco,1444,30
Washington,26781,248
Wheeler,35,1
Yamhill,4782,79
Total,206850,2756
